name,civil penalty,consent,complaint,partial_url
Nevada Power Company Clean Air Act (CAA) Settlement,none found,/enforcement/nevada-power-company-consent-decree,none,/enforcement/nevada-power-company-clean-air-act-settlement
Alabama Power Company Clean Air Act Settlement, ,none,none,/enforcement/alabama-power-company-clean-air-act-settlement
Minnkota Power Cooperative and Square Butte Electric Cooperative Settlement,none found,/enforcement/minnkota-power-cooperative-inc-and-square-butte-electric-cooperative,none,/enforcement/minnkota-power-cooperative-and-square-butte-electric-cooperative
Illinois Power Company and Dynegy Midwest Generation Settlement, - DMG will pay a $9 million civil penalty.,/enforcement/consent-decree-united-states-america-et-al-v-illinois-power-company-et-al-civil-action,none,/enforcement/illinois-power-company-and-dynegy-midwest-generation-settlement
South Carolina Public Service Authority (Santee Cooper) Settlement,"Santee Cooper will pay a $2 million civil penalty, $700,000 of which will go to South Carolina.",none,none,/enforcement/south-carolina-public-service-authority-santee-cooper
Southern Indiana Gas and Electric Company (SIGECO) F.B. Culley Plant Clean Air Act (CAA) Settlement,none found,/enforcement/consent-decree-united-states-america-v-southern-indiana-gas-and-electric-company-inc,/enforcement/complaint-southern-indiana-gas-and-electric-company-sigeco,/enforcement/southern-indiana-gas-and-electric-company-sigeco-fb-culley-plant-clean-air-act
Wisconsin Electric Power Company (WEPCO) Clean Air Act Civil Settlement,WEPCO will pay a $3.2 million civil penalty.,/enforcement/consent-decree-united-states-america-vwisconsin-electric-power-company,none,/enforcement/wisconsin-electric-power-company-wepco-clean-air-act-civil-settlement
Virginia Electric and Power Company (VEPCO) Clean Air Act (CAA) Settlement,VEPCO will pay a $5.3 million civil penalty.,/enforcement/consent-decree-united-states-america-et-al-v-virginia-electric-and-power-company,none,/enforcement/virginia-electric-and-power-company-vepco-clean-air-act-settlement
"Alcoa, Inc. Clean Air Act Settlement","
Pay $1.5 million dollars to the U.S. Treasury.
",/enforcement/consent-decree-alcoa-inc,none,/enforcement/alcoa-inc-clean-air-act-settlement
PSEG Fossil L.L.C. Settlement,"Civil Penalty and Environmental Mitigation Projects:
	PSEG Fossil is required to pay a total civil penalty of $6.0 million to the United States and the State of New Jersey for prospective violations of the 2002 Consent Decree. The United States will collect $4.25 million in civil penalties. New Jersey will collect $1.75 million in civil penalties and will require PSEG Fossil to perform environmental projects valued at $3.25 million focused on reducing particulate matter from diesel engines in New Jersey.",/enforcement/consent-decree-united-states-america-et-al-v-pseg-fossil-llc,/enforcement/complaint-pseg-fossil-llc,/enforcement/mpseg-fossil-llc-settlement
Tampa Electric Company (TECO) Clean Air Act (CAA) Settlement,none found,/enforcement/consent-decree-united-states-america-v-tampa-electric-company-civil-action-no-99-2524,/enforcement/complaint-tampa-electric-company-teco,/enforcement/tampa-electric-company-teco-clean-air-act-settlement
